path,expected,apex_status,apex_location,http_status,http_location,https_status,canonical,og_url,pass,issues
"/","https://www.patroseguros.com.br","301","https://www.patroseguros.com.br/","301","https://www.patroseguros.com.br/","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","true",""
"/blog","https://www.patroseguros.com.br/blog","301","https://www.patroseguros.com.br/blog","301","https://www.patroseguros.com.br/blog","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","canonical=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog) | og:url=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog)"
"/blog/3-erros-produtor-rural-seguro-maquinas","https://www.patroseguros.com.br/blog/3-erros-produtor-rural-seguro-maquinas","301","https://www.patroseguros.com.br/blog/3-erros-produtor-rural-seguro-maquinas","301","https://www.patroseguros.com.br/blog/3-erros-produtor-rural-seguro-maquinas","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","canonical=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog/3-erros-produtor-rural-seguro-maquinas) | og:url=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog/3-erros-produtor-rural-seguro-maquinas)"
"/blog/5-acoes-apos-acidente-veicular","https://www.patroseguros.com.br/blog/5-acoes-apos-acidente-veicular","301","https://www.patroseguros.com.br/blog/5-acoes-apos-acidente-veicular","301","https://www.patroseguros.com.br/blog/5-acoes-apos-acidente-veicular","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","canonical=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog/5-acoes-apos-acidente-veicular) | og:url=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog/5-acoes-apos-acidente-veicular)"
"/blog/5-dicas-baratear-seguro-auto","https://www.patroseguros.com.br/blog/5-dicas-baratear-seguro-auto","301","https://www.patroseguros.com.br/blog/5-dicas-baratear-seguro-auto","301","https://www.patroseguros.com.br/blog/5-dicas-baratear-seguro-auto","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","canonical=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog/5-dicas-baratear-seguro-auto) | og:url=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog/5-dicas-baratear-seguro-auto)"
"/blog/7-seguros-proteger-familia","https://www.patroseguros.com.br/blog/7-seguros-proteger-familia","301","https://www.patroseguros.com.br/blog/7-seguros-proteger-familia","301","https://www.patroseguros.com.br/blog/7-seguros-proteger-familia","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","canonical=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog/7-seguros-proteger-familia) | og:url=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog/7-seguros-proteger-familia)"
"/blog/agrishow-2026-ribeirao-preto-seguro-maquinas-agricolas","https://www.patroseguros.com.br/blog/agrishow-2026-ribeirao-preto-seguro-maquinas-agricolas","301","https://www.patroseguros.com.br/blog/agrishow-2026-ribeirao-preto-seguro-maquinas-agricolas","301","https://www.patroseguros.com.br/blog/agrishow-2026-ribeirao-preto-seguro-maquinas-agricolas","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","canonical=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog/agrishow-2026-ribeirao-preto-seguro-maquinas-agricolas) | og:url=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog/agrishow-2026-ribeirao-preto-seguro-maquinas-agricolas)"
"/blog/beneficios-seguro-imobiliario","https://www.patroseguros.com.br/blog/beneficios-seguro-imobiliario","301","https://www.patroseguros.com.br/blog/beneficios-seguro-imobiliario","301","https://www.patroseguros.com.br/blog/beneficios-seguro-imobiliario","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","canonical=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog/beneficios-seguro-imobiliario) | og:url=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog/beneficios-seguro-imobiliario)"
"/blog/bradesco-vs-sulamerica-plano-saude-2026","https://www.patroseguros.com.br/blog/bradesco-vs-sulamerica-plano-saude-2026","301","https://www.patroseguros.com.br/blog/bradesco-vs-sulamerica-plano-saude-2026","301","https://www.patroseguros.com.br/blog/bradesco-vs-sulamerica-plano-saude-2026","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","canonical=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog/bradesco-vs-sulamerica-plano-saude-2026) | og:url=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog/bradesco-vs-sulamerica-plano-saude-2026)"
"/blog/carros-mais-roubados-furtados-sp-2025","https://www.patroseguros.com.br/blog/carros-mais-roubados-furtados-sp-2025","301","https://www.patroseguros.com.br/blog/carros-mais-roubados-furtados-sp-2025","301","https://www.patroseguros.com.br/blog/carros-mais-roubados-furtados-sp-2025","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","canonical=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog/carros-mais-roubados-furtados-sp-2025) | og:url=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog/carros-mais-roubados-furtados-sp-2025)"
"/blog/cobertura-vidros-retrovisores-farois-seguro-auto","https://www.patroseguros.com.br/blog/cobertura-vidros-retrovisores-farois-seguro-auto","301","https://www.patroseguros.com.br/blog/cobertura-vidros-retrovisores-farois-seguro-auto","301","https://www.patroseguros.com.br/blog/cobertura-vidros-retrovisores-farois-seguro-auto","200","https://www.patroseguros.com.br","https://www.patroseguros.com.br","false","canonical=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog/cobertura-vidros-retrovisores-farois-seguro-auto) | og:url=https://www.patroseguros.com.br (expected https://www.patroseguros.com.br/blog/cobertura-vidros-retrovisores-farois-seguro-auto)"
